Pavarde        Vardas           Galutinis(Vid)  Galutinis(Med)
Pavarde634     Vardas634                  4.44            4.20
Pavarde635     Vardas635                  3.72            3.80
Pavarde636     Vardas636                  5.12            5.20
Pavarde637     Vardas637                  5.68            5.60
Pavarde638     Vardas638                  3.00            2.60
Pavarde639     Vardas639                  4.76            4.60
Pavarde640     Vardas640                  3.28            2.80
Pavarde641     Vardas641                  5.28            5.60
Pavarde642     Vardas642                  4.20            5.00
Pavarde643     Vardas643                  7.64            7.80
Pavarde644     Vardas644                  6.72            6.40
Pavarde645     Vardas645                  5.72            5.80
Pavarde646     Vardas646                  5.68            6.00
Pavarde647     Vardas647                  3.88            3.80
Pavarde648     Vardas648                  5.60            6.00
Pavarde649     Vardas649                  4.20            3.80
Pavarde650     Vardas650                  5.72            5.40
Pavarde651     Vardas651                  4.64            4.80
Pavarde652     Vardas652                  7.92            7.60
Pavarde653     Vardas653                  4.52            5.40
Pavarde654     Vardas654                  2.72            2.00
Pavarde655     Vardas655                  6.96            6.80
Pavarde656     Vardas656                  5.48            6.20
Pavarde657     Vardas657                  6.28            5.80
Pavarde658     Vardas658                  5.20            4.80
Pavarde659     Vardas659                  5.80            5.80
Pavarde660     Vardas660                  2.52            2.60
Pavarde661     Vardas661                  7.12            7.60
Pavarde662     Vardas662                  5.88            5.80
Pavarde663     Vardas663                  4.12            4.20
Pavarde664     Vardas664                  6.24            5.60
Pavarde665     Vardas665                  6.52            6.60
Pavarde666     Vardas666                  8.16            8.00
Pavarde667     Vardas667                  3.76            3.60
Pavarde668     Vardas668                  7.32            7.80
Pavarde669     Vardas669                  6.00            5.60
Pavarde670     Vardas670                  5.64            5.40
Pavarde671     Vardas671                  4.32            3.60
Pavarde672     Vardas672                  4.56            4.40
Pavarde673     Vardas673                  4.32            3.60
Pavarde674     Vardas674                  3.72            4.20
Pavarde675     Vardas675                  7.64            7.40
Pavarde676     Vardas676                  3.92            3.60
Pavarde677     Vardas677                  4.08            4.40
Pavarde678     Vardas678                  3.60            4.00
Pavarde679     Vardas679                  8.60            9.00
Pavarde680     Vardas680                  6.16            6.00
Pavarde681     Vardas681                  8.88            8.80
Pavarde682     Vardas682                  3.32            3.40
Pavarde683     Vardas683                  3.20            2.80
Pavarde684     Vardas684                  7.00            7.00
Pavarde685     Vardas685                  7.96            8.60
Pavarde686     Vardas686                  4.24            3.60
Pavarde687     Vardas687                  3.56            3.40
Pavarde688     Vardas688                  7.80            7.40
Pavarde689     Vardas689                  2.20            2.20
Pavarde690     Vardas690                  5.00            5.40
Pavarde691     Vardas691                  6.52            6.20
Pavarde692     Vardas692                  2.76            3.00
Pavarde693     Vardas693                  7.08            7.00
Pavarde694     Vardas694                  7.16            7.00
Pavarde695     Vardas695                  6.24            6.40
Pavarde696     Vardas696                  4.88            4.40
Pavarde697     Vardas697                  2.20            2.60
Pavarde698     Vardas698                  6.32            6.40
Pavarde699     Vardas699                  7.00            6.20
Pavarde700     Vardas700                  6.40            6.40
Pavarde701     Vardas701                  8.32            8.00
Pavarde702     Vardas702                  3.84            4.00
Pavarde703     Vardas703                  4.68            5.00
Pavarde704     Vardas704                  7.84            8.00
Pavarde705     Vardas705                  6.76            6.60
Pavarde706     Vardas706                  6.72            6.80
Pavarde707     Vardas707                  8.40            8.40
Pavarde708     Vardas708                  7.80            7.80
Pavarde709     Vardas709                  3.44            3.60
Pavarde710     Vardas710                  6.88            6.40
Pavarde711     Vardas711                  7.08            7.00
Pavarde712     Vardas712                  3.84            3.60
Pavarde713     Vardas713                  5.04            5.20
Pavarde714     Vardas714                  4.36            4.20
Pavarde715     Vardas715                  5.44            6.00
Pavarde716     Vardas716                  5.68            6.00
Pavarde717     Vardas717                  3.88            3.80
Pavarde718     Vardas718                  4.92            5.00
Pavarde719     Vardas719                  4.92            5.40
Pavarde720     Vardas720                  3.84            3.60
Pavarde721     Vardas721                  6.44            6.60
Pavarde722     Vardas722                  3.20            3.60
Pavarde723     Vardas723                  5.40            5.00
Pavarde724     Vardas724                  8.16            8.40
Pavarde725     Vardas725                  4.32            4.00
Pavarde726     Vardas726                  3.84            3.60
Pavarde727     Vardas727                  5.36            4.80
Pavarde728     Vardas728                  3.24            3.00
Pavarde729     Vardas729                  6.76            7.40
Pavarde730     Vardas730                  6.04            5.40
Pavarde731     Vardas731                  3.24            3.00
Pavarde732     Vardas732                  8.08            8.00
Pavarde733     Vardas733                  3.44            3.60
Pavarde734     Vardas734                  4.64            4.40
Pavarde735     Vardas735                  3.00            3.80
Pavarde736     Vardas736                  2.76            3.00
Pavarde737     Vardas737                  5.64            5.80
Pavarde738     Vardas738                  4.12            4.20
Pavarde739     Vardas739                  8.16            8.00
Pavarde740     Vardas740                  8.48            8.40
Pavarde741     Vardas741                  4.92            5.40
Pavarde742     Vardas742                  2.20            1.80
Pavarde743     Vardas743                  4.24            4.40
Pavarde744     Vardas744                  4.64            4.40
Pavarde745     Vardas745                  6.64            6.40
Pavarde746     Vardas746                  7.84            7.60
Pavarde747     Vardas747                  5.52            5.20
Pavarde748     Vardas748                  7.68            7.20
Pavarde749     Vardas749                  4.60            4.20
Pavarde750     Vardas750                  5.64            5.40
Pavarde751     Vardas751                  6.88            6.80
Pavarde752     Vardas752                  5.96            5.80
Pavarde753     Vardas753                  5.52            5.20
Pavarde754     Vardas754                  7.68            8.00
Pavarde755     Vardas755                  4.16            4.40
Pavarde756     Vardas756                  3.28            4.00
Pavarde757     Vardas757                  6.08            6.00
Pavarde758     Vardas758                  2.28            2.60
Pavarde759     Vardas759                  5.76            5.20
Pavarde760     Vardas760                  5.36            5.60
Pavarde761     Vardas761                  3.48            3.80
Pavarde762     Vardas762                  7.20            7.60
Pavarde763     Vardas763                  3.20            3.60
Pavarde764     Vardas764                  4.80            4.80
Pavarde765     Vardas765                  7.96            8.60
Pavarde766     Vardas766                  5.68            5.60
Pavarde767     Vardas767                  3.56            3.40
Pavarde768     Vardas768                  3.80            3.80
Pavarde769     Vardas769                  6.88            7.20
Pavarde770     Vardas770                  3.36            2.40
Pavarde771     Vardas771                  9.12            9.60
Pavarde772     Vardas772                  7.88            8.60
Pavarde773     Vardas773                  7.16            7.00
Pavarde774     Vardas774                  6.48            6.40
Pavarde775     Vardas775                  7.36            8.40
Pavarde776     Vardas776                  6.36            6.60
Pavarde777     Vardas777                  8.08            7.60
Pavarde778     Vardas778                  5.08            5.00
Pavarde779     Vardas779                  5.84            5.60
Pavarde780     Vardas780                  3.04            3.20
Pavarde781     Vardas781                  8.04            7.40
Pavarde782     Vardas782                  4.00            4.00
Pavarde783     Vardas783                  7.96            8.20
Pavarde784     Vardas784                  3.16            3.40
Pavarde785     Vardas785                  6.76            6.60
Pavarde786     Vardas786                  5.80            6.20
Pavarde787     Vardas787                  2.72            2.40
Pavarde788     Vardas788                  8.92            9.00
Pavarde789     Vardas789                  5.96            5.80
Pavarde790     Vardas790                  5.08            5.40
Pavarde791     Vardas791                  3.32            3.80
Pavarde792     Vardas792                  5.16            5.00
Pavarde793     Vardas793                  8.36            8.60
Pavarde794     Vardas794                  7.92            7.60
Pavarde795     Vardas795                  5.80            6.60
Pavarde796     Vardas796                  5.40            5.40
Pavarde797     Vardas797                  4.40            4.40
Pavarde798     Vardas798                  2.52            2.20
Pavarde799     Vardas799                  3.92            4.80
Pavarde800     Vardas800                  6.28            5.40
Pavarde801     Vardas801                  5.92            6.80
Pavarde802     Vardas802                  2.68            2.20
Pavarde803     Vardas803                  4.12            3.80
Pavarde804     Vardas804                  3.84            4.40
Pavarde805     Vardas805                  6.68            7.00
Pavarde806     Vardas806                  5.92            5.60
Pavarde807     Vardas807                  6.92            6.60
Pavarde808     Vardas808                  8.88            9.20
Pavarde809     Vardas809                  5.92            6.00
Pavarde810     Vardas810                  2.64            2.00
Pavarde811     Vardas811                  5.24            5.00
Pavarde812     Vardas812                  7.00            7.80
Pavarde813     Vardas813                  6.80            6.80
Pavarde814     Vardas814                  6.12            6.20
Pavarde815     Vardas815                  4.16            4.00
Pavarde816     Vardas816                  6.16            5.60
Pavarde817     Vardas817                  8.44            9.00
Pavarde818     Vardas818                  4.08            4.40
Pavarde819     Vardas819                  2.28            1.80
Pavarde820     Vardas820                  2.76            3.00
Pavarde821     Vardas821                  2.12            1.80
Pavarde822     Vardas822                  4.44            4.60
Pavarde823     Vardas823                  4.20            3.80
Pavarde824     Vardas824                  5.84            5.60
Pavarde825     Vardas825                  3.48            3.40
Pavarde826     Vardas826                  6.28            7.00
Pavarde827     Vardas827                  6.32            6.40
Pavarde828     Vardas828                  3.60            2.80
Pavarde829     Vardas829                  2.28            2.20
Pavarde830     Vardas830                  3.80            3.80
Pavarde831     Vardas831                  7.32            7.40
Pavarde832     Vardas832                  5.24            5.40
Pavarde833     Vardas833                  8.24            8.00
Pavarde834     Vardas834                  4.20            4.20
Pavarde835     Vardas835                  3.16            3.40
Pavarde836     Vardas836                  5.52            5.60
Pavarde837     Vardas837                  4.08            4.80
Pavarde838     Vardas838                  2.36            2.20
Pavarde839     Vardas839                  4.32            4.40
Pavarde840     Vardas840                  5.76            6.00
Pavarde841     Vardas841                  4.36            4.60
Pavarde842     Vardas842                  2.84            2.60
Pavarde843     Vardas843                  7.20            7.60
Pavarde844     Vardas844                  2.68            3.00
Pavarde845     Vardas845                  3.52            3.60
Pavarde846     Vardas846                  5.36            5.60
Pavarde847     Vardas847                  5.80            5.80
Pavarde848     Vardas848                  3.28            3.20
Pavarde849     Vardas849                  3.88            3.80
Pavarde850     Vardas850                  2.76            2.60
Pavarde851     Vardas851                  7.84            7.60
Pavarde852     Vardas852                  5.72            5.80
Pavarde853     Vardas853                  3.16            3.40
Pavarde854     Vardas854                  2.84            2.60
Pavarde855     Vardas855                  8.24            8.40
Pavarde856     Vardas856                  6.80            6.00
Pavarde857     Vardas857                  3.08            3.80
Pavarde858     Vardas858                  4.08            3.60
Pavarde859     Vardas859                  4.04            3.80
Pavarde860     Vardas860                  3.32            3.00
Pavarde861     Vardas861                  4.88            4.80
Pavarde862     Vardas862                  4.16            3.60
Pavarde863     Vardas863                  5.44            5.20
Pavarde864     Vardas864                  7.72            7.40
Pavarde865     Vardas865                  7.40            7.80
Pavarde866     Vardas866                  4.80            4.80
Pavarde867     Vardas867                  8.72            8.80
Pavarde868     Vardas868                  8.40            9.20
Pavarde869     Vardas869                  5.36            5.60
Pavarde870     Vardas870                  3.24            3.40
Pavarde871     Vardas871                  5.28            5.60
Pavarde872     Vardas872                  5.68            5.60
Pavarde873     Vardas873                  5.84            6.00
Pavarde874     Vardas874                  5.16            5.80
Pavarde875     Vardas875                  3.48            3.80
Pavarde876     Vardas876                  3.84            4.40
Pavarde877     Vardas877                  4.56            4.80
Pavarde878     Vardas878                  5.24            4.60
Pavarde879     Vardas879                  3.12            2.40
Pavarde880     Vardas880                  3.52            4.00
Pavarde881     Vardas881                  7.96            8.60
Pavarde882     Vardas882                  7.60            7.20
Pavarde883     Vardas883                  6.56            6.80
Pavarde884     Vardas884                  8.88            9.20
Pavarde885     Vardas885                  2.84            2.60
Pavarde886     Vardas886                  6.76            7.00
Pavarde887     Vardas887                  6.64            6.80
Pavarde888     Vardas888                  8.32            8.00
Pavarde889     Vardas889                  5.44            5.20
Pavarde890     Vardas890                  2.88            2.40
Pavarde891     Vardas891                  4.04            3.40
Pavarde892     Vardas892                  7.28            6.80
Pavarde893     Vardas893                  4.72            5.20
Pavarde894     Vardas894                  2.84            3.00
Pavarde895     Vardas895                  4.92            5.00
Pavarde896     Vardas896                  4.96            5.20
Pavarde897     Vardas897                  4.96            4.80
Pavarde898     Vardas898                  7.08            7.00
Pavarde899     Vardas899                  6.88            6.00
Pavarde900     Vardas900                  5.28            5.60
Pavarde901     Vardas901                  8.48            8.40
Pavarde902     Vardas902                  5.12            4.80
Pavarde903     Vardas903                  5.88            5.40
Pavarde904     Vardas904                  6.52            7.00
Pavarde905     Vardas905                  3.08            3.40
Pavarde906     Vardas906                  3.72            3.80
Pavarde907     Vardas907                  5.92            6.00
Pavarde908     Vardas908                  2.96            2.80
Pavarde909     Vardas909                  4.96            4.80
Pavarde910     Vardas910                  5.60            6.00
Pavarde911     Vardas911                  2.60            1.80
Pavarde912     Vardas912                  7.56            7.40
Pavarde913     Vardas913                  8.80            9.20
Pavarde914     Vardas914                  8.00            8.00
Pavarde915     Vardas915                  8.20            8.60
Pavarde916     Vardas916                  4.00            4.40
Pavarde917     Vardas917                  3.32            3.40
Pavarde918     Vardas918                  8.48            8.80
Pavarde919     Vardas919                  4.88            5.20
Pavarde920     Vardas920                  6.72            6.80
Pavarde921     Vardas921                  5.84            5.60
Pavarde922     Vardas922                  4.68            3.40
Pavarde923     Vardas923                  3.32            3.80
Pavarde924     Vardas924                  4.88            5.60
Pavarde925     Vardas925                  5.52            5.20
Pavarde926     Vardas926                  7.40            7.00
Pavarde927     Vardas927                  7.40            7.00
Pavarde928     Vardas928                  3.48            3.40
Pavarde929     Vardas929                  4.28            4.20
Pavarde930     Vardas930                  7.96            7.80
Pavarde931     Vardas931                  6.80            6.80
Pavarde932     Vardas932                  4.88            5.20
Pavarde933     Vardas933                  6.16            6.80
Pavarde934     Vardas934                  6.36            6.20
Pavarde935     Vardas935                  3.12            3.20
Pavarde936     Vardas936                  4.68            5.00
Pavarde937     Vardas937                  6.56            6.40
Pavarde938     Vardas938                  3.64            3.40
Pavarde939     Vardas939                  3.84            3.60
Pavarde940     Vardas940                  4.40            4.80
Pavarde941     Vardas941                  5.28            5.20
Pavarde942     Vardas942                  6.60            6.60
Pavarde943     Vardas943                  5.84            6.00
Pavarde944     Vardas944                  7.00            7.00
Pavarde945     Vardas945                  3.52            3.20
Pavarde946     Vardas946                  5.68            6.00
Pavarde947     Vardas947                  5.48            6.20
Pavarde948     Vardas948                  6.48            6.80
Pavarde949     Vardas949                  2.44            2.20
Pavarde950     Vardas950                  5.48            5.40
Pavarde951     Vardas951                  4.92            4.60
Pavarde952     Vardas952                  3.12            3.20
Pavarde953     Vardas953                  6.60            6.60
Pavarde954     Vardas954                  6.12            5.40
Pavarde955     Vardas955                  6.20            5.40
Pavarde956     Vardas956                  2.84            3.00
Pavarde957     Vardas957                  6.24            6.80
Pavarde958     Vardas958                  8.24            8.80
Pavarde959     Vardas959                  4.28            4.20
Pavarde960     Vardas960                  5.00            5.00
Pavarde961     Vardas961                  6.80            7.20
Pavarde962     Vardas962                  5.04            5.60
Pavarde963     Vardas963                  5.88            6.20
Pavarde964     Vardas964                  3.56            3.80
Pavarde965     Vardas965                  6.40            6.00
Pavarde966     Vardas966                  2.44            2.20
Pavarde967     Vardas967                  3.56            3.40
Pavarde968     Vardas968                  6.92            7.40
Pavarde969     Vardas969                  8.72            8.80
Pavarde970     Vardas970                  3.72            4.20
Pavarde971     Vardas971                  6.28            6.20
Pavarde972     Vardas972                  5.96            6.20
Pavarde973     Vardas973                  3.20            2.80
Pavarde974     Vardas974                  8.32            8.80
Pavarde975     Vardas975                  4.64            4.40
Pavarde976     Vardas976                  8.16            8.40
Pavarde977     Vardas977                  4.60            5.00
Pavarde978     Vardas978                  3.76            4.40
Pavarde979     Vardas979                  7.40            7.40
Pavarde980     Vardas980                  6.68            7.40
Pavarde981     Vardas981                  7.72            7.80
Pavarde982     Vardas982                  3.20            3.60
Pavarde983     Vardas983                  7.00            6.60
Pavarde984     Vardas984                  7.56            7.40
Pavarde985     Vardas985                  4.32            4.40
Pavarde986     Vardas986                  8.56            8.80
Pavarde987     Vardas987                  5.56            5.40
Pavarde988     Vardas988                  2.40            2.00
Pavarde989     Vardas989                  8.00            8.40
Pavarde990     Vardas990                  7.32            7.40
Pavarde991     Vardas991                  3.16            3.00
Pavarde992     Vardas992                  7.12            7.20
Pavarde993     Vardas993                  9.20            9.20
Pavarde994     Vardas994                  4.32            4.00
Pavarde995     Vardas995                  2.44            2.20
Pavarde996     Vardas996                  5.60            5.60
Pavarde997     Vardas997                  3.36            2.80
Pavarde998     Vardas998                  3.92            2.80
Pavarde999     Vardas999                  5.44            5.20
Pavarde1000    Vardas1000                 6.24            6.40
