Pavarde        Vardas           Galutinis(Vid)  Galutinis(Med)
Pavarde1677    Vardas1677                 6.40            5.80
Pavarde1678    Vardas1678                 4.50            4.20
Pavarde1679    Vardas1679                 4.70            4.60
Pavarde1680    Vardas1680                 7.70            7.00
Pavarde1681    Vardas1681                 5.10            5.00
Pavarde1682    Vardas1682                 7.90            8.20
Pavarde1683    Vardas1683                 4.60            4.60
Pavarde1684    Vardas1684                 4.70            4.60
Pavarde1685    Vardas1685                 4.00            3.80
Pavarde1686    Vardas1686                 3.70            3.60
Pavarde1687    Vardas1687                 8.30            8.20
Pavarde1688    Vardas1688                 6.90            6.60
Pavarde1689    Vardas1689                 4.80            5.00
Pavarde1690    Vardas1690                 2.20            2.00
Pavarde1691    Vardas1691                 6.80            6.40
Pavarde1692    Vardas1692                 7.80            7.20
Pavarde1693    Vardas1693                 5.60            5.40
Pavarde1694    Vardas1694                 5.40            5.80
Pavarde1695    Vardas1695                 6.70            7.00
Pavarde1696    Vardas1696                 7.30            7.40
Pavarde1697    Vardas1697                 5.10            5.40
Pavarde1698    Vardas1698                 3.50            3.60
Pavarde1699    Vardas1699                 7.40            7.60
Pavarde1700    Vardas1700                 3.90            3.60
Pavarde1701    Vardas1701                 3.60            3.60
Pavarde1702    Vardas1702                 7.20            6.80
Pavarde1703    Vardas1703                 6.40            6.00
Pavarde1704    Vardas1704                 6.20            6.20
Pavarde1705    Vardas1705                 4.90            5.00
Pavarde1706    Vardas1706                 4.10            4.20
Pavarde1707    Vardas1707                 5.00            5.00
Pavarde1708    Vardas1708                 6.30            6.20
Pavarde1709    Vardas1709                 8.10            8.20
Pavarde1710    Vardas1710                 3.60            4.00
Pavarde1711    Vardas1711                 8.20            8.40
Pavarde1712    Vardas1712                 8.90            8.80
Pavarde1713    Vardas1713                 7.40            7.00
Pavarde1714    Vardas1714                 6.30            6.20
Pavarde1715    Vardas1715                 3.60            3.20
Pavarde1716    Vardas1716                 5.80            5.80
Pavarde1717    Vardas1717                 4.70            4.60
Pavarde1718    Vardas1718                 7.40            7.20
Pavarde1719    Vardas1719                 6.00            6.00
Pavarde1720    Vardas1720                 5.40            5.20
Pavarde1721    Vardas1721                 6.30            6.20
Pavarde1722    Vardas1722                 6.40            6.40
Pavarde1723    Vardas1723                 2.50            2.60
Pavarde1724    Vardas1724                 4.60            4.40
Pavarde1725    Vardas1725                 9.00            9.40
Pavarde1726    Vardas1726                 6.10            6.20
Pavarde1727    Vardas1727                 4.00            4.00
Pavarde1728    Vardas1728                 6.10            6.00
Pavarde1729    Vardas1729                 6.10            6.00
Pavarde1730    Vardas1730                 8.10            8.40
Pavarde1731    Vardas1731                 7.00            7.00
Pavarde1732    Vardas1732                 4.40            4.40
Pavarde1733    Vardas1733                 4.50            4.40
Pavarde1734    Vardas1734                 7.20            7.20
Pavarde1735    Vardas1735                 5.50            5.40
Pavarde1736    Vardas1736                 6.50            6.60
Pavarde1737    Vardas1737                 8.30            8.20
Pavarde1738    Vardas1738                 6.40            7.00
Pavarde1739    Vardas1739                 4.10            4.20
Pavarde1740    Vardas1740                 3.20            3.00
Pavarde1741    Vardas1741                 3.80            4.20
Pavarde1742    Vardas1742                 3.50            3.60
Pavarde1743    Vardas1743                 8.30            7.80
Pavarde1744    Vardas1744                 5.90            5.80
Pavarde1745    Vardas1745                 5.20            5.00
Pavarde1746    Vardas1746                 6.60            6.80
Pavarde1747    Vardas1747                 7.00            7.60
Pavarde1748    Vardas1748                 2.40            2.00
Pavarde1749    Vardas1749                 3.30            3.60
Pavarde1750    Vardas1750                 7.10            6.80
Pavarde1751    Vardas1751                 6.70            6.60
Pavarde1752    Vardas1752                 4.40            4.40
Pavarde1753    Vardas1753                 5.70            5.60
Pavarde1754    Vardas1754                 2.70            2.60
Pavarde1755    Vardas1755                 3.60            3.40
Pavarde1756    Vardas1756                 6.00            6.20
Pavarde1757    Vardas1757                 3.70            3.40
Pavarde1758    Vardas1758                 6.50            6.80
Pavarde1759    Vardas1759                 3.10            3.00
Pavarde1760    Vardas1760                 7.30            7.20
Pavarde1761    Vardas1761                 3.60            3.80
Pavarde1762    Vardas1762                 6.30            6.40
Pavarde1763    Vardas1763                 2.90            3.00
Pavarde1764    Vardas1764                 5.70            5.60
Pavarde1765    Vardas1765                 7.60            8.20
Pavarde1766    Vardas1766                 5.10            5.60
Pavarde1767    Vardas1767                 6.10            6.60
Pavarde1768    Vardas1768                 2.50            2.20
Pavarde1769    Vardas1769                 3.00            3.20
Pavarde1770    Vardas1770                 3.50            3.60
Pavarde1771    Vardas1771                 7.70            7.60
Pavarde1772    Vardas1772                 5.00            5.00
Pavarde1773    Vardas1773                 6.10            5.80
Pavarde1774    Vardas1774                 3.20            3.20
Pavarde1775    Vardas1775                 3.70            3.60
Pavarde1776    Vardas1776                 5.50            5.60
Pavarde1777    Vardas1777                 4.90            5.20
Pavarde1778    Vardas1778                 4.10            3.60
Pavarde1779    Vardas1779                 3.60            3.60
Pavarde1780    Vardas1780                 6.50            6.60
Pavarde1781    Vardas1781                 5.40            5.40
Pavarde1782    Vardas1782                 7.90            7.80
Pavarde1783    Vardas1783                 8.20            8.00
Pavarde1784    Vardas1784                 4.50            4.40
Pavarde1785    Vardas1785                 4.60            4.60
Pavarde1786    Vardas1786                 5.40            5.80
Pavarde1787    Vardas1787                 6.50            6.60
Pavarde1788    Vardas1788                 6.40            6.00
Pavarde1789    Vardas1789                 5.70            5.80
Pavarde1790    Vardas1790                 6.30            6.20
Pavarde1791    Vardas1791                 5.90            6.20
Pavarde1792    Vardas1792                 6.50            6.60
Pavarde1793    Vardas1793                 5.00            4.60
Pavarde1794    Vardas1794                 7.60            8.00
Pavarde1795    Vardas1795                 8.10            8.20
Pavarde1796    Vardas1796                 8.10            8.40
Pavarde1797    Vardas1797                 7.20            7.00
Pavarde1798    Vardas1798                 3.60            4.00
Pavarde1799    Vardas1799                 7.10            7.20
Pavarde1800    Vardas1800                 8.80            8.60
Pavarde1801    Vardas1801                 2.00            2.00
Pavarde1802    Vardas1802                 3.80            3.80
Pavarde1803    Vardas1803                 8.30            8.60
Pavarde1804    Vardas1804                 5.60            5.80
Pavarde1805    Vardas1805                 2.80            2.60
Pavarde1806    Vardas1806                 2.20            2.20
Pavarde1807    Vardas1807                 7.60            7.20
Pavarde1808    Vardas1808                 3.80            4.00
Pavarde1809    Vardas1809                 7.00            7.00
Pavarde1810    Vardas1810                 6.80            7.00
Pavarde1811    Vardas1811                 6.30            6.80
Pavarde1812    Vardas1812                 3.20            3.20
Pavarde1813    Vardas1813                 7.30            7.40
Pavarde1814    Vardas1814                 6.80            6.40
Pavarde1815    Vardas1815                 4.50            4.40
Pavarde1816    Vardas1816                 5.50            5.80
Pavarde1817    Vardas1817                 2.20            2.40
Pavarde1818    Vardas1818                 8.50            8.40
Pavarde1819    Vardas1819                 8.30            8.60
Pavarde1820    Vardas1820                 7.80            7.20
Pavarde1821    Vardas1821                 6.50            6.60
Pavarde1822    Vardas1822                 5.00            5.60
Pavarde1823    Vardas1823                 6.30            6.40
Pavarde1824    Vardas1824                 5.10            4.80
Pavarde1825    Vardas1825                 5.90            6.00
Pavarde1826    Vardas1826                 3.70            3.60
Pavarde1827    Vardas1827                 6.90            6.80
Pavarde1828    Vardas1828                 6.40            6.20
Pavarde1829    Vardas1829                 6.60            6.60
Pavarde1830    Vardas1830                 3.30            3.20
Pavarde1831    Vardas1831                 3.40            3.40
Pavarde1832    Vardas1832                 2.00            2.00
Pavarde1833    Vardas1833                 7.10            7.00
Pavarde1834    Vardas1834                 2.20            2.00
Pavarde1835    Vardas1835                 7.00            7.00
Pavarde1836    Vardas1836                 4.70            4.80
Pavarde1837    Vardas1837                 4.70            4.40
Pavarde1838    Vardas1838                 2.60            2.40
Pavarde1839    Vardas1839                 4.50            4.60
Pavarde1840    Vardas1840                 5.60            5.60
Pavarde1841    Vardas1841                 2.90            2.20
Pavarde1842    Vardas1842                 6.60            6.00
Pavarde1843    Vardas1843                 2.90            3.00
Pavarde1844    Vardas1844                 3.80            4.00
Pavarde1845    Vardas1845                 4.20            4.20
Pavarde1846    Vardas1846                 6.20            6.20
Pavarde1847    Vardas1847                 3.10            3.00
Pavarde1848    Vardas1848                 7.40            7.80
Pavarde1849    Vardas1849                 3.90            3.80
Pavarde1850    Vardas1850                 4.90            4.60
Pavarde1851    Vardas1851                 7.60            7.80
Pavarde1852    Vardas1852                 3.90            3.80
Pavarde1853    Vardas1853                 6.90            6.80
Pavarde1854    Vardas1854                 5.90            6.20
Pavarde1855    Vardas1855                 2.50            2.40
Pavarde1856    Vardas1856                 7.20            7.00
Pavarde1857    Vardas1857                 4.60            4.80
Pavarde1858    Vardas1858                 3.90            3.80
Pavarde1859    Vardas1859                 6.90            6.80
Pavarde1860    Vardas1860                 7.10            7.20
Pavarde1861    Vardas1861                 2.70            2.60
Pavarde1862    Vardas1862                 5.40            5.20
Pavarde1863    Vardas1863                 4.80            4.80
Pavarde1864    Vardas1864                 5.30            5.60
Pavarde1865    Vardas1865                 6.80            6.80
Pavarde1866    Vardas1866                 2.20            1.80
Pavarde1867    Vardas1867                 7.10            7.00
Pavarde1868    Vardas1868                 6.00            5.80
Pavarde1869    Vardas1869                 7.10            7.00
Pavarde1870    Vardas1870                 6.50            6.40
Pavarde1871    Vardas1871                 6.40            6.40
Pavarde1872    Vardas1872                 4.40            4.00
Pavarde1873    Vardas1873                 4.70            5.00
Pavarde1874    Vardas1874                 1.80            1.40
Pavarde1875    Vardas1875                 3.90            3.40
Pavarde1876    Vardas1876                 4.60            4.60
Pavarde1877    Vardas1877                 7.10            7.40
Pavarde1878    Vardas1878                 3.40            3.40
Pavarde1879    Vardas1879                 6.40            6.20
Pavarde1880    Vardas1880                 6.60            6.60
Pavarde1881    Vardas1881                 6.90            6.80
Pavarde1882    Vardas1882                 4.50            4.60
Pavarde1883    Vardas1883                 4.70            4.40
Pavarde1884    Vardas1884                 2.30            2.20
Pavarde1885    Vardas1885                 4.90            4.60
Pavarde1886    Vardas1886                 2.90            3.20
Pavarde1887    Vardas1887                 5.50            5.60
Pavarde1888    Vardas1888                 7.30            7.20
Pavarde1889    Vardas1889                 5.10            5.00
Pavarde1890    Vardas1890                 2.60            2.60
Pavarde1891    Vardas1891                 7.60            7.60
Pavarde1892    Vardas1892                 5.00            4.80
Pavarde1893    Vardas1893                 7.00            7.00
Pavarde1894    Vardas1894                 3.40            3.40
Pavarde1895    Vardas1895                 8.70            8.60
Pavarde1896    Vardas1896                 3.80            3.60
Pavarde1897    Vardas1897                 6.90            7.00
Pavarde1898    Vardas1898                 7.60            7.40
Pavarde1899    Vardas1899                 6.30            6.20
Pavarde1900    Vardas1900                 3.50            3.40
Pavarde1901    Vardas1901                 9.10            9.00
Pavarde1902    Vardas1902                 4.00            4.20
Pavarde1903    Vardas1903                 8.20            8.20
Pavarde1904    Vardas1904                 4.70            4.60
Pavarde1905    Vardas1905                 5.60            5.20
Pavarde1906    Vardas1906                 8.00            8.00
Pavarde1907    Vardas1907                 6.80            6.60
Pavarde1908    Vardas1908                 6.70            7.00
Pavarde1909    Vardas1909                 4.00            4.00
Pavarde1910    Vardas1910                 7.30            7.00
Pavarde1911    Vardas1911                 2.90            3.20
Pavarde1912    Vardas1912                 6.30            6.40
Pavarde1913    Vardas1913                 3.50            3.60
Pavarde1914    Vardas1914                 8.30            8.40
Pavarde1915    Vardas1915                 8.30            8.40
Pavarde1916    Vardas1916                 8.30            8.40
Pavarde1917    Vardas1917                 7.20            7.00
Pavarde1918    Vardas1918                 4.50            4.40
Pavarde1919    Vardas1919                 1.90            1.60
Pavarde1920    Vardas1920                 7.90            7.80
Pavarde1921    Vardas1921                 1.90            1.60
Pavarde1922    Vardas1922                 2.40            2.00
Pavarde1923    Vardas1923                 4.60            4.60
Pavarde1924    Vardas1924                 8.20            8.20
Pavarde1925    Vardas1925                 5.10            5.20
Pavarde1926    Vardas1926                 2.00            1.60
Pavarde1927    Vardas1927                 2.50            2.80
Pavarde1928    Vardas1928                 7.10            6.80
Pavarde1929    Vardas1929                 5.50            5.20
Pavarde1930    Vardas1930                 4.40            4.40
Pavarde1931    Vardas1931                 5.50            5.20
Pavarde1932    Vardas1932                 2.60            2.60
Pavarde1933    Vardas1933                 8.30            8.40
Pavarde1934    Vardas1934                 4.50            5.20
Pavarde1935    Vardas1935                 3.30            3.20
Pavarde1936    Vardas1936                 8.30            8.40
Pavarde1937    Vardas1937                 2.70            2.80
Pavarde1938    Vardas1938                 4.80            4.80
Pavarde1939    Vardas1939                 2.70            2.60
Pavarde1940    Vardas1940                 4.60            4.20
Pavarde1941    Vardas1941                 8.40            8.60
Pavarde1942    Vardas1942                 7.20            7.20
Pavarde1943    Vardas1943                 5.20            5.20
Pavarde1944    Vardas1944                 6.40            6.80
Pavarde1945    Vardas1945                 3.00            3.00
Pavarde1946    Vardas1946                 7.20            7.40
Pavarde1947    Vardas1947                 3.10            2.80
Pavarde1948    Vardas1948                 8.70            9.00
Pavarde1949    Vardas1949                 9.00            9.20
Pavarde1950    Vardas1950                 3.80            3.60
Pavarde1951    Vardas1951                 6.60            6.60
Pavarde1952    Vardas1952                 5.60            5.40
Pavarde1953    Vardas1953                 7.60            7.40
Pavarde1954    Vardas1954                 3.50            3.40
Pavarde1955    Vardas1955                 3.40            3.60
Pavarde1956    Vardas1956                 4.40            4.40
Pavarde1957    Vardas1957                 4.50            4.60
Pavarde1958    Vardas1958                 6.40            5.80
Pavarde1959    Vardas1959                 4.40            4.00
Pavarde1960    Vardas1960                 4.40            3.80
Pavarde1961    Vardas1961                 4.70            4.80
Pavarde1962    Vardas1962                 7.90            7.80
Pavarde1963    Vardas1963                 5.60            5.60
Pavarde1964    Vardas1964                 4.40            4.40
Pavarde1965    Vardas1965                 7.60            7.40
Pavarde1966    Vardas1966                 6.20            6.40
Pavarde1967    Vardas1967                 3.70            3.60
Pavarde1968    Vardas1968                 8.50            8.80
Pavarde1969    Vardas1969                 2.90            2.40
Pavarde1970    Vardas1970                 4.90            4.60
Pavarde1971    Vardas1971                 6.90            6.80
Pavarde1972    Vardas1972                 7.60            7.80
Pavarde1973    Vardas1973                 3.70            4.00
Pavarde1974    Vardas1974                 5.80            5.80
Pavarde1975    Vardas1975                 6.50            7.20
Pavarde1976    Vardas1976                 9.00            9.20
Pavarde1977    Vardas1977                 4.40            3.60
Pavarde1978    Vardas1978                 5.20            5.40
Pavarde1979    Vardas1979                 5.10            5.40
Pavarde1980    Vardas1980                 6.70            7.20
Pavarde1981    Vardas1981                 4.00            4.00
Pavarde1982    Vardas1982                 4.40            4.40
Pavarde1983    Vardas1983                 6.70            7.00
Pavarde1984    Vardas1984                 3.00            3.00
Pavarde1985    Vardas1985                 8.30            8.00
Pavarde1986    Vardas1986                 6.30            6.40
Pavarde1987    Vardas1987                 9.20            9.20
Pavarde1988    Vardas1988                 3.80            3.80
Pavarde1989    Vardas1989                 2.70            2.60
Pavarde1990    Vardas1990                 3.50            3.00
Pavarde1991    Vardas1991                 2.90            3.00
Pavarde1992    Vardas1992                 8.80            9.20
Pavarde1993    Vardas1993                 7.70            7.40
Pavarde1994    Vardas1994                 3.50            3.60
Pavarde1995    Vardas1995                 3.80            3.80
Pavarde1996    Vardas1996                 6.00            5.80
Pavarde1997    Vardas1997                 7.20            7.20
Pavarde1998    Vardas1998                 8.40            8.40
Pavarde1999    Vardas1999                 5.50            4.80
Pavarde2000    Vardas2000                 4.60            4.60
Pavarde2001    Vardas2001                 8.00            7.80
Pavarde2002    Vardas2002                 4.50            4.40
Pavarde2003    Vardas2003                 4.80            4.40
Pavarde2004    Vardas2004                 5.70            5.40
Pavarde2005    Vardas2005                 2.50            2.60
Pavarde2006    Vardas2006                 6.50            6.60
Pavarde2007    Vardas2007                 6.00            6.20
Pavarde2008    Vardas2008                 6.40            6.60
Pavarde2009    Vardas2009                 7.80            8.00
Pavarde2010    Vardas2010                 6.90            7.40
Pavarde2011    Vardas2011                 5.90            5.80
Pavarde2012    Vardas2012                 4.30            4.00
Pavarde2013    Vardas2013                 1.90            1.60
Pavarde2014    Vardas2014                 7.10            7.60
Pavarde2015    Vardas2015                 4.20            4.20
Pavarde2016    Vardas2016                 6.60            6.60
Pavarde2017    Vardas2017                 3.70            3.40
Pavarde2018    Vardas2018                 7.10            6.80
Pavarde2019    Vardas2019                 4.50            5.20
Pavarde2020    Vardas2020                 3.90            3.80
Pavarde2021    Vardas2021                 3.90            4.00
Pavarde2022    Vardas2022                 6.10            6.20
Pavarde2023    Vardas2023                 4.90            5.20
Pavarde2024    Vardas2024                 6.80            7.20
Pavarde2025    Vardas2025                 7.90            7.80
Pavarde2026    Vardas2026                 7.60            7.80
Pavarde2027    Vardas2027                 5.20            4.60
Pavarde2028    Vardas2028                 3.60            3.60
Pavarde2029    Vardas2029                 2.90            2.80
Pavarde2030    Vardas2030                 5.50            5.80
Pavarde2031    Vardas2031                 7.50            7.20
Pavarde2032    Vardas2032                 5.60            5.40
Pavarde2033    Vardas2033                 5.60            5.60
Pavarde2034    Vardas2034                 7.00            7.00
Pavarde2035    Vardas2035                 7.00            6.80
Pavarde2036    Vardas2036                 2.90            3.00
Pavarde2037    Vardas2037                 7.00            7.00
Pavarde2038    Vardas2038                 2.30            2.20
Pavarde2039    Vardas2039                 5.40            5.40
Pavarde2040    Vardas2040                 7.70            7.80
Pavarde2041    Vardas2041                 8.00            8.00
Pavarde2042    Vardas2042                 3.50            4.00
Pavarde2043    Vardas2043                 3.10            2.80
Pavarde2044    Vardas2044                 5.30            5.40
Pavarde2045    Vardas2045                 4.60            4.60
Pavarde2046    Vardas2046                 5.90            5.80
Pavarde2047    Vardas2047                 3.80            3.80
Pavarde2048    Vardas2048                 5.40            5.60
Pavarde2049    Vardas2049                 7.00            6.80
Pavarde2050    Vardas2050                 6.00            6.20
Pavarde2051    Vardas2051                 5.40            5.40
Pavarde2052    Vardas2052                 5.20            5.20
Pavarde2053    Vardas2053                 4.50            4.60
Pavarde2054    Vardas2054                 2.30            2.20
Pavarde2055    Vardas2055                 7.60            7.80
Pavarde2056    Vardas2056                 4.20            4.40
Pavarde2057    Vardas2057                 2.20            2.40
Pavarde2058    Vardas2058                 3.30            3.60
Pavarde2059    Vardas2059                 5.20            5.20
Pavarde2060    Vardas2060                 3.20            3.40
Pavarde2061    Vardas2061                 3.10            2.80
Pavarde2062    Vardas2062                 2.90            2.80
Pavarde2063    Vardas2063                 7.80            8.20
Pavarde2064    Vardas2064                 6.00            6.40
Pavarde2065    Vardas2065                 5.30            5.20
Pavarde2066    Vardas2066                 5.60            5.60
Pavarde2067    Vardas2067                 6.50            6.00
Pavarde2068    Vardas2068                 4.10            4.00
Pavarde2069    Vardas2069                 4.10            4.00
Pavarde2070    Vardas2070                 3.50            3.00
Pavarde2071    Vardas2071                 4.20            4.40
Pavarde2072    Vardas2072                 8.80            9.00
Pavarde2073    Vardas2073                 5.80            5.60
Pavarde2074    Vardas2074                 6.10            5.40
Pavarde2075    Vardas2075                 2.40            2.20
Pavarde2076    Vardas2076                 8.70            8.80
Pavarde2077    Vardas2077                 4.10            4.20
Pavarde2078    Vardas2078                 3.80            3.80
Pavarde2079    Vardas2079                 6.50            6.80
Pavarde2080    Vardas2080                 3.30            3.60
Pavarde2081    Vardas2081                 9.00            9.80
Pavarde2082    Vardas2082                 7.40            7.40
Pavarde2083    Vardas2083                 6.20            6.20
Pavarde2084    Vardas2084                 3.90            4.00
Pavarde2085    Vardas2085                 2.80            3.20
Pavarde2086    Vardas2086                 3.60            3.80
Pavarde2087    Vardas2087                 4.70            4.40
Pavarde2088    Vardas2088                 3.20            3.20
Pavarde2089    Vardas2089                 3.90            4.40
Pavarde2090    Vardas2090                 7.50            7.80
Pavarde2091    Vardas2091                 7.80            8.00
Pavarde2092    Vardas2092                 5.80            6.40
Pavarde2093    Vardas2093                 3.40            3.60
Pavarde2094    Vardas2094                 5.80            6.20
Pavarde2095    Vardas2095                 8.50            8.40
Pavarde2096    Vardas2096                 4.50            4.20
Pavarde2097    Vardas2097                 2.70            2.60
Pavarde2098    Vardas2098                 6.40            6.40
Pavarde2099    Vardas2099                 3.20            3.20
Pavarde2100    Vardas2100                 7.90            7.80
Pavarde2101    Vardas2101                 4.30            4.40
Pavarde2102    Vardas2102                 3.80            3.80
Pavarde2103    Vardas2103                 6.00            5.80
Pavarde2104    Vardas2104                 3.90            3.80
Pavarde2105    Vardas2105                 7.10            7.00
Pavarde2106    Vardas2106                 3.40            3.40
Pavarde2107    Vardas2107                 4.00            4.20
Pavarde2108    Vardas2108                 8.90            8.80
Pavarde2109    Vardas2109                 8.90            8.80
Pavarde2110    Vardas2110                 8.60            8.80
Pavarde2111    Vardas2111                 3.10            3.20
Pavarde2112    Vardas2112                 5.80            5.40
Pavarde2113    Vardas2113                 4.50            4.60
Pavarde2114    Vardas2114                 6.20            6.40
Pavarde2115    Vardas2115                 4.80            4.80
Pavarde2116    Vardas2116                 4.80            5.20
Pavarde2117    Vardas2117                 3.20            3.20
Pavarde2118    Vardas2118                 1.90            1.40
Pavarde2119    Vardas2119                 2.70            2.80
Pavarde2120    Vardas2120                 3.00            2.60
Pavarde2121    Vardas2121                 4.30            4.80
Pavarde2122    Vardas2122                 3.50            3.60
Pavarde2123    Vardas2123                 3.20            3.00
Pavarde2124    Vardas2124                 7.80            7.40
Pavarde2125    Vardas2125                 4.70            4.60
Pavarde2126    Vardas2126                 5.10            5.60
Pavarde2127    Vardas2127                 7.00            7.00
Pavarde2128    Vardas2128                 6.00            6.00
Pavarde2129    Vardas2129                 5.50            5.40
Pavarde2130    Vardas2130                 3.50            3.00
Pavarde2131    Vardas2131                 4.00            4.20
Pavarde2132    Vardas2132                 3.30            3.40
Pavarde2133    Vardas2133                 3.60            3.40
Pavarde2134    Vardas2134                 8.20            7.80
Pavarde2135    Vardas2135                 4.40            4.00
Pavarde2136    Vardas2136                 5.10            5.60
Pavarde2137    Vardas2137                 4.50            4.60
Pavarde2138    Vardas2138                 7.10            6.60
Pavarde2139    Vardas2139                 7.50            7.40
Pavarde2140    Vardas2140                 8.10            8.80
Pavarde2141    Vardas2141                 9.30            9.40
Pavarde2142    Vardas2142                 5.50            5.60
Pavarde2143    Vardas2143                 3.10            3.00
Pavarde2144    Vardas2144                 6.10            5.80
Pavarde2145    Vardas2145                 4.20            4.00
Pavarde2146    Vardas2146                 5.00            5.20
Pavarde2147    Vardas2147                 6.40            6.80
Pavarde2148    Vardas2148                 3.00            2.60
Pavarde2149    Vardas2149                 6.80            6.80
Pavarde2150    Vardas2150                 7.90            8.20
Pavarde2151    Vardas2151                 6.00            6.00
Pavarde2152    Vardas2152                 8.30            8.80
Pavarde2153    Vardas2153                 4.00            4.00
Pavarde2154    Vardas2154                 4.60            4.60
Pavarde2155    Vardas2155                 7.50            7.60
Pavarde2156    Vardas2156                 5.10            5.40
Pavarde2157    Vardas2157                 6.70            6.80
Pavarde2158    Vardas2158                 7.60            8.00
Pavarde2159    Vardas2159                 6.50            6.60
Pavarde2160    Vardas2160                 7.20            6.80
Pavarde2161    Vardas2161                 5.50            6.00
Pavarde2162    Vardas2162                 4.90            4.80
Pavarde2163    Vardas2163                 3.80            4.00
Pavarde2164    Vardas2164                 6.10            5.80
Pavarde2165    Vardas2165                 4.40            4.60
Pavarde2166    Vardas2166                 5.40            5.00
Pavarde2167    Vardas2167                 7.40            7.40
Pavarde2168    Vardas2168                 2.90            2.80
Pavarde2169    Vardas2169                 8.50            9.00
Pavarde2170    Vardas2170                 5.30            5.40
Pavarde2171    Vardas2171                 5.50            5.60
Pavarde2172    Vardas2172                 5.20            5.60
Pavarde2173    Vardas2173                 3.60            3.60
Pavarde2174    Vardas2174                 3.60            3.40
Pavarde2175    Vardas2175                 7.30            7.60
Pavarde2176    Vardas2176                 4.10            4.40
Pavarde2177    Vardas2177                 7.70            7.40
Pavarde2178    Vardas2178                 8.40            8.60
Pavarde2179    Vardas2179                 6.60            7.00
Pavarde2180    Vardas2180                 3.90            4.00
Pavarde2181    Vardas2181                 3.50            3.60
Pavarde2182    Vardas2182                 5.00            5.20
Pavarde2183    Vardas2183                 3.70            3.60
Pavarde2184    Vardas2184                 6.30            6.60
Pavarde2185    Vardas2185                 2.90            3.00
Pavarde2186    Vardas2186                 5.80            5.60
Pavarde2187    Vardas2187                 5.50            5.60
Pavarde2188    Vardas2188                 2.50            2.60
Pavarde2189    Vardas2189                 6.10            6.00
Pavarde2190    Vardas2190                 6.80            6.80
Pavarde2191    Vardas2191                 5.90            5.80
Pavarde2192    Vardas2192                 4.80            5.00
Pavarde2193    Vardas2193                 8.10            8.00
Pavarde2194    Vardas2194                 3.40            3.40
Pavarde2195    Vardas2195                 8.60            8.80
Pavarde2196    Vardas2196                 2.70            2.40
Pavarde2197    Vardas2197                 9.50            9.40
Pavarde2198    Vardas2198                 5.90            5.80
Pavarde2199    Vardas2199                 5.30            5.20
Pavarde2200    Vardas2200                 2.20            2.00
Pavarde2201    Vardas2201                 8.40            9.00
Pavarde2202    Vardas2202                 2.80            3.00
Pavarde2203    Vardas2203                 4.90            4.80
Pavarde2204    Vardas2204                 8.70            8.80
Pavarde2205    Vardas2205                 3.70            4.60
Pavarde2206    Vardas2206                 3.60            3.80
Pavarde2207    Vardas2207                 5.20            5.40
Pavarde2208    Vardas2208                 5.30            5.40
Pavarde2209    Vardas2209                 6.80            6.60
Pavarde2210    Vardas2210                 6.90            6.80
Pavarde2211    Vardas2211                 5.30            5.60
Pavarde2212    Vardas2212                 6.40            6.20
Pavarde2213    Vardas2213                 4.20            4.00
Pavarde2214    Vardas2214                 7.90            7.60
Pavarde2215    Vardas2215                 2.60            2.40
Pavarde2216    Vardas2216                 8.20            8.20
Pavarde2217    Vardas2217                 7.40            7.40
Pavarde2218    Vardas2218                 6.50            6.40
Pavarde2219    Vardas2219                 6.30            6.00
Pavarde2220    Vardas2220                 5.70            5.40
Pavarde2221    Vardas2221                 4.10            4.20
Pavarde2222    Vardas2222                 4.00            3.80
Pavarde2223    Vardas2223                 6.40            6.40
Pavarde2224    Vardas2224                 4.00            4.20
Pavarde2225    Vardas2225                 7.80            8.40
Pavarde2226    Vardas2226                 7.60            7.60
Pavarde2227    Vardas2227                 4.30            4.20
Pavarde2228    Vardas2228                 5.60            5.60
Pavarde2229    Vardas2229                 3.30            3.60
Pavarde2230    Vardas2230                 7.70            7.60
Pavarde2231    Vardas2231                 7.70            7.60
Pavarde2232    Vardas2232                 5.30            4.60
Pavarde2233    Vardas2233                 6.80            7.20
Pavarde2234    Vardas2234                 7.20            7.00
Pavarde2235    Vardas2235                 8.50            8.60
Pavarde2236    Vardas2236                 7.20            7.20
Pavarde2237    Vardas2237                 7.60            7.60
Pavarde2238    Vardas2238                 4.20            4.80
Pavarde2239    Vardas2239                 6.60            6.80
Pavarde2240    Vardas2240                 6.40            6.20
Pavarde2241    Vardas2241                 6.60            6.60
Pavarde2242    Vardas2242                 4.60            4.80
Pavarde2243    Vardas2243                 3.30            3.00
Pavarde2244    Vardas2244                 3.30            3.80
Pavarde2245    Vardas2245                 4.40            4.20
Pavarde2246    Vardas2246                 4.20            4.00
Pavarde2247    Vardas2247                 6.90            7.20
Pavarde2248    Vardas2248                 6.50            6.80
Pavarde2249    Vardas2249                 5.80            5.80
Pavarde2250    Vardas2250                 7.00            7.20
Pavarde2251    Vardas2251                 7.60            7.40
Pavarde2252    Vardas2252                 5.90            5.80
Pavarde2253    Vardas2253                 5.80            5.40
Pavarde2254    Vardas2254                 8.20            8.20
Pavarde2255    Vardas2255                 7.80            8.00
Pavarde2256    Vardas2256                 6.60            6.80
Pavarde2257    Vardas2257                 3.70            3.60
Pavarde2258    Vardas2258                 7.10            7.00
